Voltage,Voltaje
Frame,Cuadro
Calculate, Calcular
FILTER,FILTRAR
CANCEL,CANCELAR
Power,Potencia
Power In,Potencia de Entrada
Estimation,Estimación
Power Factor,Factor de Potencia
Load Factor,Factor de Carga
Efficiency,Eficiencia
Power Out,Potencia de Salida
Losses,Pérdidas
Catalog,Catálogo
Manufacturer,Fabricante
Model,Modelo
Motor Data,Datos del Motor
No Motors,Ninguna Coincidencia
Power Factor (%),Factor de Potencia (%)
Efficiency (%),Eficiencia (%)
Synchronous speed (rpm),Velocidad Sincrónica (rpm)
Power (%),Potencia (kw)
Voltage (V),Voltaje (V)
Type,Tipo
Finding nearest motors ...,Buscando los motores más cercanos ...
Tap the Search button to find motors, Presione el botón de búsqueda para buscar motores
Calculate Motor,Calcular Motor
CALCULATE,CALCULAR
Power (w),Potencia (w)
Nominal Speed (rpm),Velocidad Nominal (rpm)
